epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.306,1.15337,2.17871,1.54534,0.67331,0.59786,0.67826,0.38876,1.5703,2.06672,1.55854,0.000207428,0.000207428,0.000207428
2,1217.5,1.11726,1.52334,1.49876,0.70618,0.65936,0.66221,0.38748,1.33858,1.5796,1.47706,0.00027856,0.00027856,0.00027856
3,1750.67,1.02151,1.20986,1.41249,0.63011,0.64352,0.68812,0.40781,1.94896,1.77069,1.82218,0.000212192,0.000212192,0.000212192
